strain,stress
0,0
0.023684211,0.086776773
0.047368421,0.1697191
0.071052632,0.24916237
0.094736842,0.32540607
0.11842105,0.39871836
0.14210526,0.46933983
0.16578947,0.53748693
0.18947368,0.60335475
0.21315789,0.66711954
0.23684211,0.72894082
0.26052632,0.78896328
0.28421053,0.84731838
0.30789474,0.90412582
0.33157895,0.9594947
0.35526316,1.0135247
0.37894737,1.066307
0.40263158,1.1179252
0.42631579,1.1684559
0.45,1.2179697
0.43,1.1762232
0.40466667,1.1223088
0.37933333,1.0671573
0.354,1.0106754
0.32866667,0.9527605
0.30333333,0.89330021
0.278,0.83217076
0.25266667,0.76923577
0.22733333,0.70434465
0.202,0.63733075
0.17666667,0.5680093
0.15133333,0.496175
0.126,0.42159917
0.10066667,0.34402654
0.075333333,0.26317139
0.05,0.17871315
